modelo_id,familia,tag,arquivo,sha256,bytes,imgsz,epochs,metrica,metrica_fonte,quando,origem,copia_canonica
kflimpo-lateral-detector-roi/kfold-0/last.pt,kflimpo-lateral-detector-roi,kfold-0,last.pt,e01309fc06fab694122f5d44888811f2a04ad1203f24317d816edf5578269e39,6228010,,,,,,pnaat-modelos/kflimpo-lateral-detector-roi/runs/kfold-0/weights/last.pt,kflimpo-lateral-detector-roi/kfold-0/last.pt
kflimpo-lateral-detector-roi/kfold-1/best.pt,kflimpo-lateral-detector-roi,kfold-1,best.pt,21f8036ef516537b6770fe6de050c3a925470e3e9f7b94e8034415b1a56e2427,6226346,,,,,,pnaat-modelos/kflimpo-lateral-detector-roi/runs/kfold-1/weights/best.pt,kflimpo-lateral-detector-roi/kfold-1/best.pt
kflimpo-lateral-detector-roi/kfold-1/last.pt,kflimpo-lateral-detector-roi,kfold-1,last.pt,cf6c5e473ffe47174104324430720f6d12981a8a575f03346f20fbecb9368034,6226346,,,,,,pnaat-modelos/kflimpo-lateral-detector-roi/runs/kfold-1/weights/last.pt,kflimpo-lateral-detector-roi/kfold-1/last.pt
kfoldlat-lateral-detector-roi/kfold-0/best.pt,kfoldlat-lateral-detector-roi,kfold-0,best.pt,212ffe739315314897d513db9d494bf6a9b12df4cad015de0ba2f49648df5a56,6224298,,,,,,pnaat-modelos/kfoldlat-lateral-detector-roi/runs/kfold-0/weights/best.pt,kfoldlat-lateral-detector-roi/kfold-0/best.pt
kfoldlat-lateral-detector-roi/kfold-0/last.pt,kfoldlat-lateral-detector-roi,kfold-0,last.pt,46ec48574761236d19a9b556782af9069048686bf43a41ff95b3a6edaf9142c1,6224298,,,,,,pnaat-modelos/kfoldlat-lateral-detector-roi/runs/kfold-0/weights/last.pt,kfoldlat-lateral-detector-roi/kfold-0/last.pt
kfoldlat-lateral-detector-roi/kfold-1/best.pt,kfoldlat-lateral-detector-roi,kfold-1,best.pt,33449223b8538a3760c8d11d155e18de391dfea47c5794ca09b9b13de4632e67,6224298,,,,,,pnaat-modelos/kfoldlat-lateral-detector-roi/runs/kfold-1/weights/best.pt,kfoldlat-lateral-detector-roi/kfold-1/best.pt
kfoldlat-lateral-detector-roi/kfold-1/last.pt,kfoldlat-lateral-detector-roi,kfold-1,last.pt,9e9dcff4d0a6e682a1d8c86c0baf2d8705200f7ea0474215ac46a06e1ca0eba8,6224298,,,,,,pnaat-modelos/kfoldlat-lateral-detector-roi/runs/kfold-1/weights/last.pt,kfoldlat-lateral-detector-roi/kfold-1/last.pt
kfoldlat-lateral-detector-roi/kfold-2/best.pt,kfoldlat-lateral-detector-roi,kfold-2,best.pt,431de57565f1f5ec55699683caef1f92a241b69954d9cee6eb491080e898acb8,6224234,,,,,,pnaat-modelos/kfoldlat-lateral-detector-roi/runs/kfold-2/weights/best.pt,kfoldlat-lateral-detector-roi/kfold-2/best.pt
kfoldlat-lateral-detector-roi/kfold-2/last.pt,kfoldlat-lateral-detector-roi,kfold-2,last.pt,13b5fe6b0610dce0e9fea209f71693b11e1154e33e73d39ce6e9c9abfe54fb4f,6224234,,,,,,pnaat-modelos/kfoldlat-lateral-detector-roi/runs/kfold-2/weights/last.pt,kfoldlat-lateral-detector-roi/kfold-2/last.pt
kfoldlat-lateral-detector-roi/kfold-3/best.pt,kfoldlat-lateral-detector-roi,kfold-3,best.pt,bcebbcccdfa94667bfde497cabbcc25f9e80499d6386921a6a5cfa6e9a581546,6224234,,,,,,pnaat-modelos/kfoldlat-lateral-detector-roi/runs/kfold-3/weights/best.pt,kfoldlat-lateral-detector-roi/kfold-3/best.pt
kfoldlat-lateral-detector-roi/kfold-3/last.pt,kfoldlat-lateral-detector-roi,kfold-3,last.pt,84bf425371d435413980576a01f4d4f26b6a76a7686c4401b31487c6d17cec4d,6224234,,,,,,pnaat-modelos/kfoldlat-lateral-detector-roi/runs/kfold-3/weights/last.pt,kfoldlat-lateral-detector-roi/kfold-3/last.pt
kfoldlat-lateral-detector-roi/kfold-4/best.pt,kfoldlat-lateral-detector-roi,kfold-4,best.pt,7e5574a19df7dee9e8e5af5fc829599e27d9a4d398919a54bc348db4e124aa81,6224234,,,,,,pnaat-modelos/kfoldlat-lateral-detector-roi/runs/kfold-4/weights/best.pt,kfoldlat-lateral-detector-roi/kfold-4/best.pt
kfoldlat-lateral-detector-roi/kfold-4/last.pt,kfoldlat-lateral-detector-roi,kfold-4,last.pt,36ec25a84b1e046e6459c58a280a380cc946ba0dc39968cc9b0fbdcf36433ab5,6224234,,,,,,pnaat-modelos/kfoldlat-lateral-detector-roi/runs/kfold-4/weights/last.pt,kfoldlat-lateral-detector-roi/kfold-4/last.pt
kfoldtopo-topo-detector-roi/kfold-0/best.pt,kfoldtopo-topo-detector-roi,kfold-0,best.pt,e76ee23df0df6d1e41d44419311fbc2cdb4bb75b3e9ff7e5c22c1bf9a670e3be,6216234,,,,,,pnaat-modelos/kfoldtopo-topo-detector-roi/runs/kfold-0/weights/best.pt,kfoldtopo-topo-detector-roi/kfold-0/best.pt
kfoldtopo-topo-detector-roi/kfold-0/last.pt,kfoldtopo-topo-detector-roi,kfold-0,last.pt,39bc487a4d566d61dbd83ce14268fa530a867cb9e628477d2712f6f8abc00eda,6216234,,,,,,pnaat-modelos/kfoldtopo-topo-detector-roi/runs/kfold-0/weights/last.pt,kfoldtopo-topo-detector-roi/kfold-0/last.pt
kfoldtopo-topo-detector-roi/kfold-1/best.pt,kfoldtopo-topo-detector-roi,kfold-1,best.pt,94b9cc2f9554db4bd6c118fb9aca0c76f846e5aa46e4d4f499a06480c66f0276,6216234,,,,,,pnaat-modelos/kfoldtopo-topo-detector-roi/runs/kfold-1/weights/best.pt,kfoldtopo-topo-detector-roi/kfold-1/best.pt
kfoldtopo-topo-detector-roi/kfold-1/last.pt,kfoldtopo-topo-detector-roi,kfold-1,last.pt,598c995934b50f135d54f7b7cdbd9ba8fa155d2efecb6633c0b35336122339d3,6216234,,,,,,pnaat-modelos/kfoldtopo-topo-detector-roi/runs/kfold-1/weights/last.pt,kfoldtopo-topo-detector-roi/kfold-1/last.pt
kfoldtopo-topo-detector-roi/kfold-2/best.pt,kfoldtopo-topo-detector-roi,kfold-2,best.pt,6849faba9c88deb4e25bf92bbb9f7f76004d7b4faa2dddad511369687022b1c9,6216234,,,,,,pnaat-modelos/kfoldtopo-topo-detector-roi/runs/kfold-2/weights/best.pt,kfoldtopo-topo-detector-roi/kfold-2/best.pt
kfoldtopo-topo-detector-roi/kfold-2/last.pt,kfoldtopo-topo-detector-roi,kfold-2,last.pt,31d64a69ad5f54e8e7ebe66d3fd00f4343decceebb2c0ab73cdf0a34dc554363,6216234,,,,,,pnaat-modelos/kfoldtopo-topo-detector-roi/runs/kfold-2/weights/last.pt,kfoldtopo-topo-detector-roi/kfold-2/last.pt
kfoldtopo-topo-detector-roi/kfold-3/best.pt,kfoldtopo-topo-detector-roi,kfold-3,best.pt,49656dc56fdd39627daf1771d4098ad4cae0c06a7cf51ecc15750f3ad153617c,6216234,,,,,,pnaat-modelos/kfoldtopo-topo-detector-roi/runs/kfold-3/weights/best.pt,kfoldtopo-topo-detector-roi/kfold-3/best.pt
kfoldtopo-topo-detector-roi/kfold-3/last.pt,kfoldtopo-topo-detector-roi,kfold-3,last.pt,6717fe0283745718eb0fbe54f70b79bc33fa10e3d49f05aff4680ee018e5981e,6216234,,,,,,pnaat-modelos/kfoldtopo-topo-detector-roi/runs/kfold-3/weights/last.pt,kfoldtopo-topo-detector-roi/kfold-3/last.pt
